kode,uraian,sumber,kelompok,catatan
000.1.2.3,Perjalanan Dinas Pegawai,Pergub 30/2023 Lampiran II,high-frequency,
000.1.5,Rapat pimpinan antara lain: Notula/Risalah Rapat,Pergub 30/2023 Lampiran II,high-frequency,
000.8.3.3,Standar Operasional Prosedur,Pergub 30/2023 Lampiran II,high-frequency,
100.3.1.1,Bahan/Materi Program Legislasi Daerah,Pergub 30/2023 Lampiran II,high-frequency,
100.3.2,Rancangan Peraturan Perundang-Undangan termasuk naskah akademik/rancangan/telaah hukum sampai diundangkan,Pergub 30/2023 Lampiran II,high-frequency,
100.3.3.1,Keputusan/Ketetapan Gubernur,Pergub 30/2023 Lampiran II,high-frequency,
100.3.4.1,Instruksi / Surat Edaran Provinsi,Pergub 30/2023 Lampiran II,high-frequency,
100.3.7,Nota Kesepakatan/MOU/Kontrak/Perjanjian kerja sama,Pergub 30/2023 Lampiran II,high-frequency,
400.3,PENDIDIKAN,Pergub 30/2023 Lampiran II,education,
400.3.1,Kebijakan di bidang Pendidikan yang dilakukan oleh Pemerintah Daerah,Pergub 30/2023 Lampiran II,education,
400.3.2,"Pendidikan Anak Usia Dini (PAUD) Nonformal, Informal",Pergub 30/2023 Lampiran II,education,
400.3.2.1,Bahan Ajar (Alat Permainan Edukatif),Pergub 30/2023 Lampiran II,education,
400.3.2.2,Pelatihan Sosial,Pergub 30/2023 Lampiran II,education,
400.3.2.3,Peringatan Hari anak,Pergub 30/2023 Lampiran II,education,
400.3.2.4,Block Grant,Pergub 30/2023 Lampiran II,education,
400.3.3,Pendidikan Masyarakat,Pergub 30/2023 Lampiran II,education,
400.3.3.1,Penyelenggaraan Program,Pergub 30/2023 Lampiran II,education,
400.3.3.2,Penilaian dan pemberian bantuan sosial,Pergub 30/2023 Lampiran II,education,
400.3.3.3,Pembinaan Program,Pergub 30/2023 Lampiran II,education,
400.3.3.4,Lomba/Pemberian Penghargaan,Pergub 30/2023 Lampiran II,education,
400.3.3.5,Pameran,Pergub 30/2023 Lampiran II,education,
400.3.3.6,Rakor,Pergub 30/2023 Lampiran II,education,
400.3.3.7,Sosialisasi,Pergub 30/2023 Lampiran II,education,
400.3.3.8,Sertifikasi dan Akreditasi,Pergub 30/2023 Lampiran II,education,
400.3.4,Kursus/Pelatihan Pendidik dan Tenaga Pendidik,Pergub 30/2023 Lampiran II,education,
400.3.5,Pendidikan Dasar dan Menengah Pertama,Pergub 30/2023 Lampiran II,education,
400.3.5.1,"Kurikulum, bahan ajar",Pergub 30/2023 Lampiran II,education,
400.3.5.2,Block Grant,Pergub 30/2023 Lampiran II,education,
400.3.5.3,"Pelatihan, Bimtek, sosialisasi",Pergub 30/2023 Lampiran II,education,
400.3.5.4,"Lomba, penghargaan, penganugerahan",Pergub 30/2023 Lampiran II,education,
400.3.5.5,Bantuan operasional sekolah (BOS),Pergub 30/2023 Lampiran II,education,
400.3.5.6,Bantuan Siswa Miskin,Pergub 30/2023 Lampiran II,education,
400.3.6,Pendidikan khusus/Layanan Khusus,Pergub 30/2023 Lampiran II,education,
400.3.6.1,"Kurikulum, Bahan ajar, alat bantu pembelajaran",Pergub 30/2023 Lampiran II,education,
400.3.6.2,Block Grant,Pergub 30/2023 Lampiran II,education,
400.3.6.3,"Lomba, festival",Pergub 30/2023 Lampiran II,education,
400.3.6.4,"Sosialisasi, bimtek",Pergub 30/2023 Lampiran II,education,
400.3.6.5,Pendataan,Pergub 30/2023 Lampiran II,education,
400.3.6.6,Kelembagaan,Pergub 30/2023 Lampiran II,education,
400.3.7,Pembinaan Pendidik dan Tenaga Pendidik,Pergub 30/2023 Lampiran II,education,
400.3.7.1,Pendataan dan Pemetaan,Pergub 30/2023 Lampiran II,education,
400.3.7.2,Uji Kompetensi Guru,Pergub 30/2023 Lampiran II,education,
400.3.7.3,Sertifikasi Guru,Pergub 30/2023 Lampiran II,education,
400.3.7.4,Penghargaan guru dan tenaga kependidikan,Pergub 30/2023 Lampiran II,education,
400.3.7.5,Peningkatan kesejahteraan guru,Pergub 30/2023 Lampiran II,education,
400.3.7.6,"Sosialisasi, bimtek",Pergub 30/2023 Lampiran II,education,
400.3.7.7,Block Grant,Pergub 30/2023 Lampiran II,education,
400.3.8,Sekolah Menengah Atas,Pergub 30/2023 Lampiran II,education,
400.3.8.1,Kurikulum,Pergub 30/2023 Lampiran II,education,
400.3.8.2,Bahan Ajar,Pergub 30/2023 Lampiran II,education,
400.3.8.3,Pelatihan,Pergub 30/2023 Lampiran II,education,
400.3.8.4,Block grant,Pergub 30/2023 Lampiran II,education,
400.3.8.5,Bimbingan teknis/sosialisasi,Pergub 30/2023 Lampiran II,education,
400.3.8.6,"Lomba, Sayembara, festival",Pergub 30/2023 Lampiran II,education,
400.3.8.7,Bantuan operasional Sekolah (BOS),Pergub 30/2023 Lampiran II,education,
400.3.8.8,Bantuan siswa miskin,Pergub 30/2023 Lampiran II,education,
400.3.9,Pendidikan Khusus-Layanan Khusus,Pergub 30/2023 Lampiran II,education,
400.3.9.1,Bahan ajar,Pergub 30/2023 Lampiran II,education,
400.3.9.2,Petunjuk Teknis,Pergub 30/2023 Lampiran II,education,
400.3.9.3,Block grant,Pergub 30/2023 Lampiran II,education,
400.3.9.4,"Sosialisasi, bimtek",Pergub 30/2023 Lampiran II,education,
